part_id,part_code,part_name,vietnamese_name,korean_name,spec,unit,category,status,min_stock,description,created_at,created_by,updated_at
00098ad6-c8ae-474f-8ee3-8c2b5739f879,TR129.1,CONTACTOR LS 18B 220V,CONTACTOR LS 18B 220V,접촉기 LS 18B 220V,LS 18B 220V,EA,THIẾT BỊ ĐIỆN,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
003a5de5-93f1-4bdb-9c0b-2eaec3207a7a,MT026.3,"SPINDLE COUPLINK ",COUPLINK SPINDLE,스핀들 커플링크 신규,,EA,SPINDLE,NEW,3,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
00d48fea-cae5-4338-806e-58093a4da72e,TR062.1,직쏘 MÁY CẮT TAY,MÁY CẮT TAY,"직쏘 ",BOCHGMSGW,SET,THIẾT BỊ CƠ KHÍ,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
00ebb1a8-22ad-40f5-b0aa-c6a265baa4f9,MT083,GÓC CHẾCH PVC,GÓC CHẾCH PVC,,,EA,THIẾT BỊ CƠ KHÍ,NEW,10,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
0150f7c1-f189-4292-a8e4-f552aa8c003d,TR099.1,ĐÈN 3 MÀU 3색등,"ĐÈN 3 MÀU "," 3색등",STL025-D51-3-1-N,SET,THIẾT BỊ ĐIỆN,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
01534ea1-67ae-4d9c-8fd3-a138e3adf9c2,TR101.2,SENSOR BÁO MỰC NƯỚC수위감지,SENSOR BÁO MỰC NƯỚC,수위감지,EE-H-SPX613,M,SENSOR,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
01b78aa2-30e5-4c16-a8bd-751d4522af2f,MT039.6,TURRET BUSH,BẠC MÂM DAO,터렛 부시,,EA,THIẾT BỊ CƠ KHÍ,NEW,20,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
01d351fe-070f-43c1-bbad-c3a73269f2b6,TR072.5,PCV배관 ỐNG NỐI,ỐNG NỐI 48,"PCV배관 ",48,EA,THIẾT BỊ CƠ KHÍ,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
01e15b65-43d6-46de-af17-a139bc21d180,TR035.1,BEARING VÒNG BI,VÒNG BI EWHARBL14,베어링,EWHARBL14,EA,BEARING,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
022df845-8e3b-4ddf-959e-5ece538b9387,TR099.9,CẦU CHÌ MÁY CHỈNH LƯU정류기부품,CẦU CHÌ MÁY CHỈNH LƯU,정류기부품,660GH63SUL,EA,THIẾT BỊ ĐIỆN,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
02823797-e135-4259-9328-74453d678304,MT116,ĐẾ ĐÈN LED TRONG MÁY (OLD),ĐẾ ĐÈN LED TRONG MÁY CŨ,"다덴 LED ",,EA,THIẾT BỊ ĐIỆN,OLD,0,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
02a50f50-9eeb-44eb-b4fe-dd83dc99cd73,MT199,BLOCK COLANT L/R (OLD),BLOCK COLANT L/R CŨ,블록 콜런트 L/R,,SET,THIẾT BỊ CƠ KHÍ,OLD,1,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
02afdd9e-0772-440d-bfec-8ffc1790b0d6,MT042.2,68 OIL LINE Ф6mm,DÂY DẦU 68  Ф6,68 오일 라인 Ф6mm,Ф6mm x L930mm,EA,THIẾT BỊ CƠ KHÍ,NEW,10,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
02c13dec-5da0-4560-bc61-3227ba29d44d,TR087.7,RO수 밸브 VAN CHỮ Y KẼM Ø34,VAN CHỮ Y KẼM Ø34,RO수 밸브 Y,Ø34,EA,THIẾT BỊ CƠ KHÍ,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
032595a4-b310-43ad-8de4-784698d0a7f7,TR096,TÚI VẢI THANH CARBON여과포,TÚI VẢI THANH CARBON," CARBON여과포",200 X 1000 MM,EA,FILTER,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
03ea2267-27d1-42eb-83ef-a3a497b791a9,MT088,ORING MIST CLEANER,GIOĂNG MIST CLEANER,오링 미스트 클리너,,EA,THIẾT BỊ CƠ KHÍ,NEW,10,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
042ba254-ed04-417a-a3b1-724fd92f2ffc,MT019.2,SY7220 VALVE,VAN ĐIỆN TỪ SY5240,SY7220 밸브(신규),SMC/SY5240R-5L0Z-02,EA,THIẾT BỊ ĐIỆN,NEW,20,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
045d3f37-6dbd-44d6-9277-c490d96c529a,TR011,컨베이어 구동모터 외 부품 MOTOR BĂNG TẢI," MOTOR BĂNG TẢI","고정 구동모터 외부 부품 ",소형모터,SET,MOTOR,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
046a71e7-bbd0-4e34-a12e-c529e4e23130,TR045.2,세척기 메인체인부품(부품단품) KHÓA XÍCH,KHÓA XÍCH,"부품 메인체인부품(부품단품) ",9R-F,EA,THIẾT BỊ CƠ KHÍ,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
04903f08-1284-4239-a1f5-818e2b2bef18,TR012.1,컨베이롤러 上THANH XÍCH TẢI MÁY NGẮN,THANH XÍCH TẢI MÁY NGẮN,컨베이롤러 上,세척기1호기 규격품,SET,THIẾT BỊ CƠ KHÍ,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
050648f2-cffe-4b05-9e3d-78e7edd09b08,MT140,DÂY ĐIỆN TRUNG GIAN LIOA (OLD),DÂY ĐIỆN TRUNG GIAN LIOA (OLD),,,EA,THIẾT BỊ ĐIỆN,NEW,0,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
0513ed5c-96c4-4aa0-93eb-d8e57934db16,TR071.1,글라이드 날 ĐÁ CẮT TO,ĐÁ CẮT TO,글라이드 날,350 MM,EA,KHÁC,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
053a245e-abe0-4770-8e4e-1533a5ceca73,TR111.3,VAM 3 CHÂN(바이스류),VAM 3 CHÂN,바이스류,100,EA,THIẾT BỊ CƠ KHÍ,REPAIR,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
0580d9ae-68a7-4662-b6af-cacf6490b64c,MT220.5,FITTING NỐI THẲNG Ø4(4-M17),FITTING NỐI THẲNG Ø4(4-M17),피팅Ø4(4-M17),Ø4,EA,THIẾT BỊ CƠ KHÍ,NEW,10,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
05af17b1-722c-4bbe-a31f-43dd62bdbdc6,MT055.2,BULONG VÍT M4x10,BULONG VÍT M4x10,BULONG  M4x10,M4x10mm,EA,THIẾT BỊ CƠ KHÍ,NEW,200,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
05dfaf02-a840-48d7-accb-2e3d38485664,MT021,FAN COVER,COVER QUẠT SPINDLE,팬 커버(신품),,EA,THIẾT BỊ CƠ KHÍ,NEW,10,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
05e477e5-4361-4b49-8deb-5af440d21ef6,MT128.2,PLUSE CODER(SC) (REPAIR),PLUSE CODER(SC) SỬA CHỮA,플러스 코더(SC),A860-2051-T321,EA,THIẾT BỊ ĐIỆN,REPAIR,2,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
06c46949-17fd-432a-80a4-d9329c84a657,MT207,AIR LINE Ø4,DÂY KHÍ  Ø4,에어 라인 Ø4,D4,EA,THIẾT BỊ CƠ KHÍ,NEW,0,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
074e1e5b-9551-4182-a4d6-95f3a53fe9a0,TR098.2,원형브러쉬 사포GIẤY NHÁM TRÒN,GIẤY NHÁM TRÒN,원형브러쉬 사포,-,EA,KHÁC,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
0780d9ad-b4a0-49e6-a29c-cd4125a91720,MT023.8,SPINDLE SHAFT ORING 27x2.7,GIOĂNG SPINDLE SHAFT  27x2.7,스핀들 SAFT ORING 27x2.7,27x2.7mm,EA,THIẾT BỊ CƠ KHÍ,NEW,50,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
07d4a31b-98b9-4608-9c69-8e8f33947edd,MT060.3,VÍT TỰ KHOAN Inox 304 M4x13,VÍT TỰ KHOAN Inox 304 M4x13,이녹스 304 M4x13,Inox 304 M4x13mm,EA,THIẾT BỊ CƠ KHÍ,NEW,500,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
07d4a380-ebc2-4ab5-98da-9f8734059f38,MT156,NHÁM CỦA MÁY TRÀ NỀN,NHÁM CỦA MÁY TRÀ NỀN,,5/16'' X 24,EA,KHÁC,NEW,5,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
080a4986-4480-41f5-8bd3-ad6f9860c3c1,TR043.4,메인체인부품(체결품) ỐC VÍT XÍCH TẢI CHÍNH,ỐC VÍT XÍCH TẢI CHÍNH,메인체인부품(체결품),HC-2100,SET,THIẾT BỊ CƠ KHÍ,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
081f14b5-cce9-49bc-9304-9bcaefb89254,TR060.2,디버링 차압계 ĐỒNG HỒ ÁP SUẤT KHÍ (DUST),ĐỒNG HỒ ÁP SUẤT KHÍ (DUST),디버링 차압계,KILS,EA,AIR PRESSURE SYSTEM,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
087c0acd-e3cf-47b7-b7b2-b9474ac33a2a,TR031.1,TANK잠입용 온도센스 SENSOR (CẢM BIẾN) NHIỆT ĐỘ,(CẢM BIẾN) NHIỆT ĐỘ,TANK잠입용 온도센스 SENSOR,PT100,EA,SENSOR,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
08b72238-e04c-4b76-8c60-e37131d4b32c,MT290,AMP SP30 (REPAIR),AMP SP30 SỬA CHỮA,앰프 SP30,,EA,THIẾT BỊ ĐIỆN,REPAIR,0,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
08e976f8-c22d-42f3-b3eb-46281dc433e6,MT123.4,COOLANT MOTOR SEAL,PHỚT ĐÁ MOTOR BƠM NƯỚC,냉각수 모터 씰,KT 20*38mm,EA,THIẾT BỊ CƠ KHÍ,NEW,10,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
08f25345-2794-491a-8669-63d1c7fe0e5a,TR122.2,케이블 (링브로우 모터용) DÂY ĐIỆN 4*2.5MM,DÂY ĐIỆN 4*2.5MM,케이블(링브로우 모터용) 4*2.5MM,4*2.5MM,M,THIẾT BỊ CƠ KHÍ,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
09856674-3d1f-4d5c-9124-3b060ec873be,TR051,디버링 MEDIA 방지 블록 BLOCK CHẮN CÁT,BLOCK CHẮN CÁT,"디버링 MEDIA 방지 블록 ",PCD재질 제작물120*10MM,EA,THIẾT BỊ CƠ KHÍ,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
09927e98-775e-4436-8fad-8187d941f21a,TR057,대차바퀴 BÁNH XE,BÁNH XE,대차바퀴,D75,EA,KHÁC,NEW,,,2025-05-10 07:50:02.611956+00,,2025-05-10 07:50:02.611956+00
